Descricao Original,Categoria,Subcategoria
Seguro - Carro,Transporte,Seguro Auto
Crossfit,Saúde,Academia
Condimínio - apartamento bela américa,Moradia,Condomínio
Internet,Moradia,Serviços
Fatura Cartão de crédito VISA,Financeiro,Faturas Cartão
Financiamento apartamento,Moradia,Aluguel / Financiamento
Aluguel,Moradia,Aluguel / Financiamento
IPTU,Moradia,IPTU / Taxas
Nubank,Financeiro,Faturas Cartão
Conserto Box-Espelho,Moradia,Reforma / Manutenção
CPFL,Moradia,Serviços
Eletricista,Moradia,Reforma / Manutenção
Financiamento,Moradia,Aluguel / Financiamento
Compra box e espelho apartamento Bela America,Moradia,Reforma / Manutenção
Fatura Nubank,Financeiro,Faturas Cartão
JiuJitsu,Saúde,Academia
Tattoo,Lazer & Entretenimento,Tattoo
IPVA,Transporte,IPVA / Licenciamento
Ajuda de Custo - Paula,Ajuda / Mesada / Presentes,Ajuda de custo
Fatura cartão Santander,Financeiro,Faturas Cartão
Taxa Bombeiro Apartamento,Moradia,Condomínio
Atribuição de unidade apartamento Bela America,Moradia,IPTU / Taxas
Limpeza - Casa,Moradia,Reforma / Manutenção
Festa de aniversário Luísa,Lazer & Entretenimento,Festas
Limpeza - Carro,Transporte,Manutenção veículo
Licenciamento,Transporte,IPVA / Licenciamento
Viagem Lins,Lazer & Entretenimento,Viagens
Sem parar,Transporte,Estacionamento / Sem Parar
Sanduicheira,Moradia,Móveis / Eletrodomésticos
Gás,Moradia,Serviços
Presente Bel,Lazer & Entretenimento,Presentes
Corretagem1-2,Financeiro,Empréstimos / Financiamentos
Corretagem2-2,Financeiro,Empréstimos / Financiamentos
Entrada Casa,Moradia,Aluguel / Financiamento
Compra móveis para casa - aparador,Moradia,Móveis / Eletrodomésticos
Multa de transito,Transporte,Multas
Documento - cartório,Documentos & Cartório,Documentos
Documento - DPVAT Focus,Transporte,IPVA / Licenciamento
Docuemento DPVAT KA,Transporte,IPVA / Licenciamento
Ovodepáscoa,Alimentação,Lanches / Ovos de Páscoa
Pagamento imposto de renda,Impostos & Obrigações,Imposto Renda
Seguro - Residencial,Moradia,Seguro Residencial
Presente Vó Anna,Lazer & Entretenimento,Presentes
Confraternização trabalho,Lazer & Entretenimento,Festas
Presente Luísa,Lazer & Entretenimento,Presentes
Viagem Praia,Lazer & Entretenimento,Viagens
Docuemento DPVAT CLASSIC,Transporte,IPVA / Licenciamento
Instalação AR Condicionado,Outros,Instalação
Fatura cartão de crédito Banco Inter,Financeiro,Faturas Cartão
Jogo de cama Lucas,Moradia,Móveis / Eletrodomésticos
Spotify(Ribas),Lazer & Entretenimento,Assinaturas / Streaming
Amortização Financiamento Casa,Moradia,Aluguel / Financiamento
Taxa Semestral Tesouro Direto,Investimentos / Aporte,Tesouro Direto
Fatura - Cartão de crédito C6,Financeiro,Faturas Cartão
Pedágio,Transporte,Combustível / Pedágio
DAE,Moradia,IPTU / Taxas
IOF Cheque Especial BB,Financeiro,Taxas bancárias
Aporte investimento - Lucas,Investimentos / Aporte,Aportes filhos
Aporte investimento - Luísa,Investimentos / Aporte,Aportes filhos
Claro TV,Lazer & Entretenimento,Assinaturas / Streaming
Multa Claro,Outros,Multas não trânsito
Presente - bicicleta Luísa,Lazer & Entretenimento,Presentes
Taxa de uso - cheque especial - BB,Financeiro,Taxas bancárias
Graduação(Anhembi),Educação,Faculdade
Escola - Lucas,Educação,Escola
Cursro Trybe,Educação,Cursos profissionalizantes
Suplemento,Saúde,Suplementos
Mercadopago,Alimentação,Mercado
Recolhimento INSS,Impostos & Obrigações,INSS / DAS / DARF
DAS - Ricardo,Impostos & Obrigações,INSS / DAS / DARF
Perua - Luísa,Transporte,Manutenção veículo
Contabilidade - Ricardo,Documentos & Cartório,Contabilidade
DARF - Ricardo,Impostos & Obrigações,INSS / DAS / DARF
Terapia Luísa,Saúde,Terapia
Amortização - Imóvel,Moradia,Aluguel / Financiamento
Escola - Luísa,Educação,Escola
Terapia - Luísa,Saúde,Terapia
Comida pronta - Clean Foods,Alimentação,Refeição pronta
Documentos CNH,Educação,Documentos
Manutenção - Casa,Moradia,Reforma / Manutenção
Consulta Médica Psiquiatra,Saúde,Consultas médicas
Compra air friyer,Moradia,Móveis / Eletrodomésticos
Festa,Lazer & Entretenimento,Festas
Consutla médica Infectologista,Saúde,Consultas médicas
Documentos Visto Americano,Documentos & Cartório,Documentos
Consulta Médica,Saúde,Consultas médicas
Presente,Lazer & Entretenimento,Presentes
Mesada Luísa,Ajuda / Mesada / Presentes,Mesada
Contabilidade - Paula,Documentos & Cartório,Contabilidade
Devolução empréstimo,Financeiro,Empréstimos / Financiamentos
DARF - Paula,Impostos & Obrigações,INSS / DAS / DARF
Dentista - Resina Lu (retirada aparelho),Saúde,Dentista
Plano de saúde,Saúde,Plano de saúde
Compra colchão Luísa,Moradia,Móveis / Eletrodomésticos
Procedimento estético,Saúde,Consultas médicas
DAS - Paula,Impostos & Obrigações,INSS / DAS / DARF
Lazer - Entretenimento,Lazer & Entretenimento,Viagens
Vestuário - Pix,Lazer & Entretenimento,Compras pessoais
Estacionamento,Transporte,Estacionamento / Sem Parar
Aula QA Paula,Educação,Cursos profissionalizantes
Kumon,Educação,Kumon
Entrada compra Nissan Kicks,Transporte,Financiamento veículo
Crédito celular,Outros,Celular
Mensalidade faculdade,Educação,Faculdade
Festa Aniversário Lucas,Lazer & Entretenimento,Festas
Video Game,Lazer & Entretenimento,Jogos
Pedra para conserto da calçada,Moradia,Reforma / Manutenção
Conserto caixa de gordura casa,Moradia,Reforma / Manutenção
Lazer / Viagem,Lazer & Entretenimento,Viagens
Parcela Nissan Kicks,Transporte,Financiamento veículo
Previdência Pessoal,Investimentos / Aporte,Previdência Privada
Previdência Pessoal - Ricardo,Investimentos / Aporte,Previdência Privada
Sobra do Cartão - Ricardo,Financeiro,Faturas Cartão
Combustível,Transporte,Combustível / Pedágio
Viagem,Lazer & Entretenimento,Viagens
Roupa,Lazer & Entretenimento,Compras pessoais
Comida,Alimentação,Mercado
Manutenção preventiva e limpeza,Moradia,Reforma / Manutenção
Taxa vestibulinho CTI Luísa,Educação,Taxas
Compra casa - cadeiras,Moradia,Móveis / Eletrodomésticos
Seguro,Transporte,Seguro Auto
Jogo Megasena,Lazer & Entretenimento,Jogos
Recarga Celular,Outros,Celular
Pagar DARF de venda investimento,Impostos & Obrigações,Venda investimento
Manutenção corretiva,Moradia,Reforma / Manutenção
Bonus para gasto pessoal Ricardo,Ajuda / Mesada / Presentes,Bônus pessoal
Bonus para gasto pessoal Ana Paula,Ajuda / Mesada / Presentes,Bônus pessoal
Refeição - Primeira Mesa,Alimentação,Refeição pronta
